Restult = 8931.75, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 40, multiplier = 1
Restult = 8490.64, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 40, multiplier = 2
Restult = 8521.77, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 40, multiplier = 3
Restult = 9130.64, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 40, multiplier = 4
Restult = 8403.78, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 40, multiplier = 5
Restult = 8348.27, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 40, multiplier = 6
Restult = 8363.07, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 40, multiplier = 7
Restult = 8797.14, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 40, multiplier = 8
Restult = 8798.99, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 40, multiplier = 9
Restult = 8714.21, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 40, multiplier = 10
Restult = 9579.94, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 80, multiplier = 1
Restult = 8804.18, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 80, multiplier = 2
Restult = 9628.09, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 80, multiplier = 3
Restult = 9245.74, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 80, multiplier = 4
Restult = 8900.7, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 80, multiplier = 5
Restult = 9226.39, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 80, multiplier = 6
Restult = 8537.28, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 80, multiplier = 7
Restult = 9058.24, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 80, multiplier = 8
Restult = 9185.47, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 80, multiplier = 9
Restult = 9088.16, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 80, multiplier = 10
Restult = 9558.11, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 120, multiplier = 1
Restult = 9588.93, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 120, multiplier = 2
Restult = 10784.53, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 120, multiplier = 3
Restult = 10711.49, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 120, multiplier = 4
Restult = 10751.55, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 120, multiplier = 5
Restult = 10332.39, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 120, multiplier = 6
Restult = 10798.45, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 120, multiplier = 7
Restult = 10231.8, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 120, multiplier = 8
Restult = 11496.76, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 120, multiplier = 9
Restult = 10095.62, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 120, multiplier = 10
Restult = 11300.48, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 160, multiplier = 1
Restult = 11463.81, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 160, multiplier = 2
Restult = 11562.33, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 160, multiplier = 3
Restult = 10460.19, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 160, multiplier = 4
Restult = 11345.36, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 160, multiplier = 5
Restult = 11610.8, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 160, multiplier = 6
Restult = 11477.7, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 160, multiplier = 7
Restult = 12169.7, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 160, multiplier = 8
Restult = 12873.68, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 160, multiplier = 9
Restult = 11326.19, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 160, multiplier = 10
Restult = 13130.97, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 200, multiplier = 1
Restult = 13539.35, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 200, multiplier = 2
Restult = 13510.61, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 200, multiplier = 3
Restult = 13291.84, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 200, multiplier = 4
Restult = 13192.51, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 200, multiplier = 5
Restult = 12878.6, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 200, multiplier = 6
Restult = 12529.73, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 200, multiplier = 7
Restult = 12558.36, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 200, multiplier = 8
Restult = 12906.24, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 200, multiplier = 9
Restult = 12402.62, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 200, multiplier = 10
Restult = 15751.46, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 240, multiplier = 1
Restult = 16167.81, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 240, multiplier = 2
Restult = 15718.36, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 240, multiplier = 3
Restult = 15050.59, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 240, multiplier = 4
Restult = 16489.43, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 240, multiplier = 5
Restult = 16208.27, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 240, multiplier = 6
Restult = 16392.23, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 240, multiplier = 7
Restult = 15418.36, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 240, multiplier = 8
Restult = 14764.3, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 240, multiplier = 9
Restult = 16052.03, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 240, multiplier = 10
Restult = 17949.87, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 280, multiplier = 1
Restult = 18060.55, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 280, multiplier = 2
Restult = 17949.87, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 280, multiplier = 3
Restult = 18243.79, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 280, multiplier = 4
Restult = 18066.14, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 280, multiplier = 5
Restult = 17884.47, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 280, multiplier = 6
Restult = 18069.55, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 280, multiplier = 7
Restult = 18012.27, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 280, multiplier = 8
Restult = 18165.81, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 280, multiplier = 9
Restult = 18349.58, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 280, multiplier = 10
Restult = 18817.03, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 320, multiplier = 1
Restult = 18613.54, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 320, multiplier = 2
Restult = 18841.48, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 320, multiplier = 3
Restult = 18979.89, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 320, multiplier = 4
Restult = 18802.45, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 320, multiplier = 5
Restult = 18841.48, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 320, multiplier = 6
Restult = 18670.07, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 320, multiplier = 7
Restult = 18902.3, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 320, multiplier = 8
Restult = 19172.7, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 320, multiplier = 9
